HP dynamic modelling [kW],T_setpoint [C°],T_out [C°],P net=(P_irr+Q_cond-Q_inf) [kW],Efficiency [K/J]
0.0,15.0,10.0,-2589.7222975034297,2.2562922349702734e-07
3.7077717820664478,15.0,10.0,-2514.6510845788303,2.2562922349702734e-07
4.03301624799783,15.0,10.0,-2483.3935927291313,2.2562922349702734e-07
3.4691723692067855,15.0,10.0,-2533.5706317630597,2.2562922349702734e-07
0.0,15.0,10.0,-2616.3753785530453,2.2562922349702734e-07
0.0,15.0,10.0,-2582.369696745481,2.2562922349702734e-07
0.0,15.0,10.0,-2579.88579983273,2.2562922349702734e-07
0.0,15.0,10.0,-2577.880645668648,2.2562922349702734e-07
3.7098992790116427,15.0,10.0,-2504.1443038461734,2.2562922349702734e-07
4.026023821453601,15.0,10.0,-2473.7407789032036,2.2562922349702734e-07
3.4579199972453694,15.0,10.0,-2515.6552053716996,2.2562922349702734e-07
0.0,15.0,10.0,-2599.22051913346,2.2562922349702734e-07
0.0,18.5,10.0,-2566.030830566945,2.2562922349702734e-07
8.0,18.5,10.0,-2719.724934162275,2.2562922349702734e-07
8.0,18.5,10.0,-3120.8918624373423,2.2562922349702734e-07
8.0,18.5,10.0,-3491.2298846744784,2.2562922349702734e-07
8.0,15.0,10.0,-3204.6029049563813,2.2562922349702734e-07
0.0,18.5,10.0,-3263.084225087125,2.2562922349702734e-07
8.0,18.5,10.0,-3316.0953104370315,2.2562922349702734e-07
6.598368752884858,18.5,10.0,-3608.864161032599,2.2562922349702734e-07
4.922771151991743,18.5,10.0,-3759.763503837205,2.2562922349702734e-07
4.270369257770358,18.5,10.0,-3816.8978532587994,2.2562922349702734e-07
3.814500274568445,18.5,10.0,-3138.594530281486,2.2562922349702734e-07
3.434969591141544,18.5,10.0,-3170.6941514498067,2.2562922349702734e-07
3.2860462259626733,18.5,10.0,-3181.664769827796,2.2562922349702734e-07
3.226702380278357,18.5,10.0,-3184.4307248248556,2.2562922349702734e-07
3.69229719271641,18.5,10.0,-3139.1277811101872,2.2562922349702734e-07
3.8716738352298763,18.5,10.0,-3120.0596905823536,2.2562922349702734e-07
0.0,18.5,11.0,-723.3436787710968,2.2562922349702734e-07
0.0,18.5,11.0,-768.1171488499119,2.2562922349702734e-07
0.0,18.5,11.0,-748.6783988160702,2.2562922349702734e-07
0.0,18.5,11.0,-777.4855786049468,2.2562922349702734e-07
0.0,18.5,11.0,-804.0823573857722,2.2562922349702734e-07
0.0,18.5,11.0,-739.8315146889079,2.2562922349702734e-07
0.0,18.5,12.0,1471.0044541072978,2.2562922349702734e-07
0.0,18.5,12.0,1362.0742361983248,2.2562922349702734e-07
0.0,18.5,12.0,1261.5116504868556,2.2562922349702734e-07
0.0,18.5,12.0,1168.6735488986965,2.2562922349702734e-07
0.0,18.5,12.0,1082.9662170942538,2.2562922349702734e-07
0.0,18.5,12.0,1003.8415748855273,2.2562922349702734e-07
0.0,18.5,12.0,34.29856846322048,2.2562922349702734e-07
0.0,18.5,12.0,35.2061397907072,2.2562922349702734e-07
0.0,18.5,12.0,36.03968732764184,2.2562922349702734e-07
0.0,18.5,12.0,36.80490593315483,2.2562922349702734e-07
0.0,18.5,12.0,37.50705274071993,2.2562922349702734e-07
0.0,18.5,12.0,38.15098080267768,2.2562922349702734e-07
0.0,18.5,12.0,194.82842793348357,2.2562922349702734e-07
0.0,18.5,12.0,183.46944055815584,2.2562922349702734e-07
0.0,18.5,12.0,172.97917705767003,2.2562922349702734e-07
0.0,18.5,12.0,163.29087078616197,2.2562922349702734e-07
0.0,18.5,12.0,154.3428869188673,2.2562922349702734e-07
0.0,18.5,12.0,146.07832800935097,2.2562922349702734e-07
0.0,18.5,12.0,-2260.764534655555,2.2562922349702734e-07
0.0,18.5,12.0,-2084.9080445864647,2.2562922349702734e-07
0.0,18.5,12.0,-1922.5707736559366,2.2562922349702734e-07
0.0,18.5,12.0,-1772.7136025707246,2.2562922349702734e-07
0.0,18.5,12.0,-1752.0434286180127,2.2562922349702734e-07
0.0,18.5,12.0,-1732.9656019776653,2.2562922349702734e-07
3.3715813637944394,18.5,12.0,-3996.1715475679293,2.2562922349702734e-07
3.773904068642878,18.5,12.0,-3956.164597680403,2.2562922349702734e-07
3.8750003416931804,18.5,12.0,-3943.7612891453155,2.2562922349702734e-07
3.9125100245723843,18.5,12.0,-3937.190885509918,2.2562922349702734e-07
3.925325234743173,18.5,12.0,-3932.8891485621393,2.2562922349702734e-07
3.9285522786437017,18.5,12.0,-3929.471666361827,2.2562922349702734e-07
3.999754489875363,18.5,11.0,-4175.747246611753,2.2562922349702734e-07
4.097467394563842,18.5,11.0,-4164.056175048416,2.2562922349702734e-07
4.133889125545716,18.5,11.0,-4157.986931453946,2.2562922349702734e-07
4.146507051179651,18.5,11.0,-4154.1040156922945,2.2562922349702734e-07
4.149881993235681,18.5,11.0,-4151.073007489131,2.2562922349702734e-07
4.1496695741248,18.5,11.0,-4148.375594446888,2.2562922349702734e-07
4.148066498687649,18.5,11.0,-4145.810453136548,2.2562922349702734e-07
4.145925983829829,18.5,11.0,-4143.299382718516,2.2562922349702734e-07
4.1435794210456605,18.5,11.0,-4140.812004523392,2.2562922349702734e-07
4.1411555200613295,18.5,11.0,-4138.336514460117,2.2562922349702734e-07
4.138704267508229,18.5,11.0,-4135.868322950477,2.2562922349702734e-07
4.136245073527971,18.5,11.0,-4133.405642582839,2.2562922349702734e-07
4.133785472239379,18.5,11.0,-4130.947774327009,2.2562922349702734e-07
4.13132838509464,18.5,11.0,-4128.494441891375,2.2562922349702734e-07
4.128874941991216,18.5,11.0,-4126.045533184977,2.2562922349702734e-07
4.1264255769966445,18.5,11.0,-4123.600999900903,2.2562922349702734e-07
4.12398045392838,18.5,11.0,-4121.160818514428,2.2562922349702734e-07
4.1215396316483295,18.5,11.0,-4118.724975134742,2.2562922349702734e-07
4.1191031282627595,18.5,11.0,-4116.293459621386,2.2562922349702734e-07
4.116670946057229,18.5,11.0,-4113.866263299088,2.2562922349702734e-07
4.114243081181394,18.5,11.0,-4111.443378070184,2.2562922349702734e-07
4.111819527410148,18.5,11.0,-4109.024796069897,2.2562922349702734e-07
4.109400277604664,18.5,11.0,-4106.610509532423,2.2562922349702734e-07
4.1069853242798215,18.5,11.0,-4104.200510738892,2.2562922349702734e-07
4.104574659824357,18.5,11.0,-4101.794791997178,2.2562922349702734e-07
4.1021682765867356,18.5,11.0,-4099.393345633987,2.2562922349702734e-07
4.099766166908012,18.5,11.0,-4096.996163991828,2.2562922349702734e-07
4.097368323135015,18.5,11.0,-4094.6032394277736,2.2562922349702734e-07
4.094974737625125,18.5,11.0,-4092.2145643129943,2.2562922349702734e-07
4.092585402748364,18.5,11.0,-4089.830131032545,2.2562922349702734e-07
4.142722200915069,18.5,10.0,-4270.103296614724,2.2562922349702734e-07
4.213367225654747,18.5,10.0,-4261.405783316482,2.2562922349702734e-07
4.239562198490989,18.5,10.0,-4256.785796238816,2.2562922349702734e-07
4.248494412779974,18.5,10.0,-4253.751776698186,2.2562922349702734e-07
4.250723815595393,18.5,10.0,-4251.3359621189375,2.2562922349702734e-07
4.250351998192037,18.5,10.0,-4249.162459332734,2.2562922349702734e-07
4.248972049360328,18.5,10.0,-4247.085264319295,2.2562922349702734e-07
4.247202731493281,18.5,10.0,-4245.0476642143385,2.2562922349702734e-07
4.245284371041317,18.5,10.0,-4243.027627540046,2.2562922349702734e-07
4.243310307658385,18.5,10.0,-4241.016593285438,2.2562922349702734e-07
4.241316790699784,18.5,10.0,-4239.011232434023,2.2562922349702734e-07
4.239317895506497,18.5,10.0,-4237.01024809671,2.2562922349702734e-07
4.237319085017998,18.5,10.0,-4235.013132671683,2.2562922349702734e-07
4.235322477129557,18.5,10.0,-4233.01968512283,2.2562922349702734e-07
4.233328890535813,18.5,10.0,-4231.02982349048,2.2562922349702734e-07
4.231338639333489,18.5,10.0,-4229.043512070829,2.2562922349702734e-07
4.229351841643279,18.5,10.0,-4227.0607331325855,2.2562922349702734e-07
4.227368539476948,18.5,10.0,-4225.081475931842,2.2562922349702734e-07
4.2253887452930945,18.5,10.0,-4223.105732445505,2.2562922349702734e-07
4.223412460079226,18.5,10.0,-4221.133495714159,2.2562922349702734e-07
4.221439680374397,18.5,10.0,-4219.164759198451,2.2562922349702734e-07
4.219470400996943,15.0,10.0,-4217.199516529105,2.2562922349702734e-07
0.0,15.0,10.0,-4054.4244780517342,2.2562922349702734e-07
0.0,15.0,10.0,-3743.273383369406,2.2562922349702734e-07
0.0,18.5,11.0,-3275.723648668304,2.2562922349702734e-07
8.0,15.0,11.0,-3329.00469730363,2.2562922349702734e-07
0.0,15.0,11.0,-3378.1933189959545,2.2562922349702734e-07
0.0,15.0,11.0,-3118.5634134230204,2.2562922349702734e-07
0.0,15.0,11.0,-2878.8891795054224,2.2562922349702734e-07
0.0,15.0,11.0,-2657.6367815258463,2.2562922349702734e-07
0.0,15.0,10.0,-2633.704069874936,2.2562922349702734e-07
0.0,15.0,10.0,-2431.7569920324963,2.2562922349702734e-07
0.0,15.0,10.0,-2294.746776931508,2.2562922349702734e-07
0.0,15.0,10.0,-2248.3248588151255,2.2562922349702734e-07
0.0,15.0,10.0,-2240.1026587841193,2.2562922349702734e-07
3.3909493708397918,15.0,10.0,-2219.796751465714,2.2562922349702734e-07
0.0,15.0,10.0,-2267.6476516621715,2.2562922349702734e-07
