HP dynamic modelling [kW],T_in [C°],T_setpoint [C°],T_out [C°],P net=(P_irr+Q_cond-Q_inf) [W],Efficiency [K/J]
0.0,18.183591014244104,18.5,10.0,-3193.491109500612,5.415101363928656e-07
0.0,18.16631633148591,18.5,10.0,-3186.699443729211,5.415101363928656e-07
0.0,18.150043081594305,18.5,10.0,-2823.6242591455884,5.415101363928656e-07
0.0,18.13476914566643,18.5,10.0,-2817.6151839540685,5.415101363928656e-07
0.0,18.119527714873914,18.5,10.0,-2811.618889178082,5.415101363928656e-07
0.0,18.104318720083143,18.5,10.0,-2805.635347635749,5.415101363928656e-07
0.0,18.089142092307522,18.5,10.0,-2799.6645322029963,5.415101363928656e-07
0.0,18.073997762707194,18.5,10.0,-2793.7064158134426,5.415101363928656e-07
0.0,18.059976667727675,18.5,10.0,-2384.811709548786,5.415101363928656e-07
0.0,18.047076430851007,18.5,10.0,-2379.7313306934248,5.415101363928656e-07
0.0,18.03420367547444,18.5,10.0,-2374.661757169733,5.415101363928656e-07
0.0,18.021358343148258,18.5,10.0,-2369.6029659965143,5.415101363928656e-07
0.0,18.008540375547057,18.5,10.0,-2364.5549342414465,5.415101363928656e-07
0.0,18.000347960168213,18.5,10.0,-2361.315899040312,5.415101363928656e-07
3.201503595356053,17.999765063225617,18.5,11.0,-1073.4527941399717,5.415101363928656e-07
0.0,18.001181608318063,18.5,11.0,-1073.9672035949302,5.415101363928656e-07
0.0,18.00151101686527,18.5,11.0,-1074.0564596331096,5.415101363928656e-07
0.0,18.00175092508335,18.5,11.0,-1074.1107091293404,5.415101363928656e-07
0.0,18.00205882131857,18.5,11.0,-1074.191552458155,5.415101363928656e-07
0.0,18.002433703942472,18.5,11.0,-1074.298597609227,5.415101363928656e-07
0.0,18.00281396857351,18.5,12.0,71.50450246385418,5.415101363928656e-07
0.0,18.003200881973786,18.5,12.0,71.39716343246971,5.415101363928656e-07
0.0,18.003587214737934,18.5,12.0,71.29005168648814,5.415101363928656e-07
0.0,18.003972968095418,18.5,12.0,71.18316674253364,5.415101363928656e-07
0.0,18.004358143273084,18.5,12.0,71.0765081182586,5.415101363928656e-07
0.0,18.004742741495175,18.5,12.0,70.9700753323392,5.415101363928656e-07
0.0,18.00383044162919,18.5,12.0,-407.91676945011875,5.415101363928656e-07
0.0,18.001623987203793,18.5,12.0,-407.0099138356127,5.415101363928656e-07
0.0,18.002454162831498,18.5,12.0,-407.2906144258877,5.415101363928656e-07
0.0,18.00328282005126,18.5,12.0,-407.5707190394006,5.415101363928656e-07
0.0,18.00123880077885,18.5,12.0,-406.7273948513163,5.415101363928656e-07
